,Title,Lyrics,Album,Tokens,New_Input_vect,Lyrics_Embeddings
0,Tim McGraw,"He said the way my blue eyes shined
Put those Georgia stars to shame that night
I said: That's a lie
Just a boy in a Chevy truck that had a tendency
Of getting stuck on backroads at night

And I was right there beside him all summer long
And then the time we woke up to find that summer gone, but

When you think Tim McGraw, I hope you think my favorite song
The one we danced to all night long
The Moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

September saw a month of tears
And thanking God that you weren't here
To see me like that
But in a box beneath my bed
Is a letter that you never read
From three summers back

It's hard not to find it all a little bittersweet
And looking back on all of that, it's nice to believe

But when you think Tim McGraw
I hope you think my favorite song
The one we danced to all night long
The Moon like a spotlight on the lake
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

And I'm back for the first time since then
I'm standing on your street
And there's a letter left on your doorstep
And the first thing that you'll read is

When you think Tim McGraw
I hope you think my favorite song
Some day you'll turn your radio on
I hope it takes you back to that place
When you think happiness
I hope you think that little black dress
Think of my head on your chest
And my old faded blue jeans
When you think Tim McGraw
I hope you think of me

Oh, think of me

You said the way my blue eyes shined
Put those Georgia stars to shame that night
I said: That's a lie",Taylor Swift (Debut),"['said', 'way', 'blue', 'eye', 'shined', 'put', 'georgia', 'star', 'shame', 'night', 'said', 'lie', 'boy', 'chevy', 'truck', 'tendency', 'getting', 'stuck', 'backroads', 'night', 'right', 'beside', 'summer', 'long', 'time', 'woke', 'find', 'summer', 'gone', 'think', 'tim', 'mcgraw', 'hope', 'think', 'favorite', 'song', 'one', 'danced', 'night', 'long', 'moon', 'like', 'spotlight', 'lake', 'think', 'happiness', 'hope', 'think', 'little', 'black', 'dress', 'think', 'head', 'chest', 'old', 'faded', 'blue', 'jean', 'think', 'tim', 'mcgraw', 'hope', 'think', 'september', 'saw', 'month', 'tear', 'thanking', 'god', 'see', 'like', 'box', 'beneath', 'bed', 'letter', 'never', 'read', 'three', 'summer', 'back', 'hard', 'find', 'little', 'bittersweet', 'looking', 'back', 'nice', 'believe', 'think', 'tim', 'mcgraw', 'hope', 'think', 'favorite', 'song', 'one', 'danced', 'night', 'long', 'moon', 'like', 'spotlight', 'lake', 'think', 'happiness', 'hope', 'think', 'little', 'black', 'dress', 'think', 'head', 'chest', 'old', 'faded', 'blue', 'jean', 'think', 'tim', 'mcgraw', 'hope', 'think', 'back', 'first', 'time', 'since', 'standing', 'street', 'letter', 'left', 'doorstep', 'first', 'thing', 'read', 'think', 'tim', 'mcgraw', 'hope', 'think', 'favorite', 'song', 'day', 'turn', 'radio', 'hope', 'take', 'back', 'place', 'think', 'happiness', 'hope', 'think', 'little', 'black', 'dress', 'think', 'head', 'chest', 'old', 'faded', 'blue', 'jean', 'think', 'tim', 'mcgraw', 'hope', 'think', 'think', 'said', 'way', 'blue', 'eye', 'shined', 'put', 'georgia', 'star', 'shame', 'night', 'said', 'lie']","[[-0.00909424 -0.04418945  0.09960938 ...  0.14453125  0.18066406
  -0.08691406]
 [ 0.15332031  0.07177734 -0.02416992 ...  0.02844238 -0.09960938
   0.0324707 ]
 [ 0.0390625   0.08642578  0.22363281 ...  0.04663086  0.02258301
  -0.15722656]
 ...
 [ 0.01574707  0.07666016 -0.03222656 ... -0.1171875   0.16894531
  -0.05126953]
 [-0.00909424 -0.04418945  0.09960938 ...  0.14453125  0.18066406
  -0.08691406]
 [ 0.10205078 -0.09765625  0.31640625 ... -0.10693359  0.13378906
   0.12304688]]","[ 0.03171197  0.06633075  0.03743086  0.11542765 -0.01792012 -0.0633387
  0.07879393 -0.14614473  0.07289185  0.07130607 -0.02733007 -0.11802923
 -0.01102877  0.01800292 -0.11924634  0.07674531  0.04201499  0.17118274
 -0.00722092 -0.09993279 -0.03294609  0.07618667  0.0431113  -0.06286603
  0.02872932 -0.02483088 -0.03735821  0.04719649  0.06682438  0.01012197
 -0.03328363  0.05035227 -0.01094108 -0.00186355  0.03931716 -0.02051413
  0.0839514   0.02289095 -0.02589504  0.0944473   0.02685643 -0.07870474
  0.14595242 -0.043433    0.01329469  0.00816854 -0.02764608 -0.05233828
  0.01692156  0.05684754 -0.02601659  0.06933664 -0.0023285  -0.02007276
  0.04717035  0.00951688 -0.00544616 -0.03938955  0.05127096 -0.0706175
 -0.04457952  0.08726633 -0.07611603 -0.02734787  0.00721451 -0.01058223
 -0.06493764  0.04611134 -0.01027636  0.10469555  0.0618465   0.05154629
  0.05220167  0.02990481 -0.16983725 -0.03418688  0.06942082  0.0736989
  0.07043036  0.12304346  0.02200598 -0.02836819  0.03470045 -0.06094115
 -0.06175214 -0.00255464 -0.08857565  0.07818209  0.04309113  0.01901017
  0.03631577  0.05053027 -0.08300221 -0.05650917 -0.07615153 -0.07112543
  0.07713815  0.07973573  0.01985581 -0.03287934 -0.09502016 -0.04885643
  0.09146328  0.00443978 -0.01417138 -0.01069624  0.02072284 -0.03045304
 -0.01824475 -0.07475676 -0.04277609  0.00583237  0.02849035  0.01831036
  0.07987309 -0.04413193  0.04334513 -0.02461137  0.00861915  0.0634464
 -0.06229866  0.0052592  -0.06343986  0.05605829 -0.00180047 -0.03289444
 -0.04243478 -0.01804396 -0.01248066  0.01810449 -0.06554439 -0.12868005
 -0.05480563  0.03167108  0.00292438 -0.04089101 -0.02511939  0.05333362
  0.03089953  0.08243824  0.04794373 -0.0864221   0.02704033 -0.00258172
  0.00203985  0.05574264 -0.06431334 -0.07302541 -0.04134834 -0.11181443
  0.06635714  0.05184597 -0.09880535  0.07646293 -0.00437493 -0.04228745
 -0.01487048 -0.08549486 -0.0810368   0.00135786 -0.00192752  0.06918633
  0.08080704 -0.00378576  0.07928292 -0.12151043  0.02971623 -0.08267864
 -0.01348851  0.00736052 -0.07352961  0.02402628 -0.02404452 -0.03746949
 -0.06209823 -0.00432964  0.09813471 -0.08075556 -0.00091358 -0.00024302
 -0.07894661 -0.03095088  0.02226426  0.06404447 -0.0646215  -0.06250921
 -0.0694246   0.02798567  0.09252755  0.04224229  0.05679663 -0.00157183
  0.05233297  0.00291478 -0.02080642  0.04180049  0.0095114   0.04086814
 -0.05104571 -0.06138598  0.00528616  0.00924963 -0.06680894 -0.06691395
  0.06132937 -0.05519525 -0.02350836  0.02014511  0.00526551  0.02290756
 -0.06860553  0.11604302 -0.04909401 -0.01463763 -0.0811936  -0.03129608
  0.03609546 -0.02014292 -0.06935821 -0.03147029 -0.04874227 -0.01666959
 -0.00410409  0.01852213  0.01123113 -0.08010939  0.06236495  0.02037364
 -0.03131323 -0.01308057  0.02056324 -0.04781684 -0.01556817  0.02987759
  0.03205099  0.02234229 -0.03406731 -0.07618695  0.0845265   0.02943797
  0.08689253  0.01153065 -0.03794922 -0.08916394 -0.04970402  0.03367378
  0.05964007  0.05071793  0.04392637 -0.0362605  -0.02707593  0.05997476
  0.11025063  0.12838219  0.03497411 -0.06211691  0.00856842  0.03973468
 -0.0546419  -0.0922364  -0.04608189 -0.0019606  -0.01409973  0.02038918
  0.05942526  0.10658895  0.01169735 -0.0093318  -0.08020191  0.025507
  0.03216044  0.06145883  0.10520795  0.04581609  0.03157447 -0.04630052
 -0.07429294 -0.10702164 -0.03909354 -0.00313116  0.00591085  0.00836348
  0.04398469  0.05861918  0.0145824  -0.03405209 -0.09434097  0.04215508
  0.00370964  0.02890501 -0.03694561  0.0594849  -0.09645808 -0.00487865
 -0.0482632  -0.08271457  0.02378797 -0.04782168  0.04243296 -0.00796465]"
1,Picture to Burn,"State the obvious, I didn't get my perfect fantasy
I realize you love yourself more than you could ever love me
So go and tell your friends that I'm obsessive and crazy
That's fine, you won't mind if I say
By the way
I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
There's no time for tears
I'm just sitting here planning my revenge
There's nothing stopping me
From going out with all of your best friends
And if you come around saying sorry to me
My daddy's gonna show you how sorry you'll be
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
And if you're missing me, you'd better keep it to yourself
'Cause coming back around here would be bad for your health
'Cause I hate that stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
In case you haven't heard, I really, really hate that
Stupid old pickup truck you never let me drive
You're a redneck heartbreak who's really bad at lying
So watch me strike a match on all my wasted time
As far as I'm concerned, you're just another picture to burn
Burn, burn, burn, baby, burn
Just another picture to burn
Baby, burn",Taylor Swift (Debut),"['state', 'obvious', 'get', 'perfect', 'fantasy', 'realize', 'love', 'could', 'ever', 'love', 'go', 'tell', 'friend', 'obsessive', 'crazy', 'fine', 'mind', 'say', 'way', 'hate', 'stupid', 'old', 'pickup', 'truck', 'never', 'let', 'drive', 'redneck', 'heartbreak', 'really', 'bad', 'lying', 'watch', 'strike', 'match', 'wasted', 'time', 'far', 'concerned', 'another', 'picture', 'burn', 'time', 'tear', 'sitting', 'planning', 'revenge', 'nothing', 'stopping', 'going', 'best', 'friend', 'come', 'around', 'saying', 'sorry', 'daddy', 'gonna', 'show', 'sorry', 'cause', 'hate', 'stupid', 'old', 'pickup', 'truck', 'never', 'let', 'drive', 'redneck', 'heartbreak', 'really', 'bad', 'lying', 'watch', 'strike', 'match', 'wasted', 'time', 'far', 'concerned', 'another', 'picture', 'burn', 'missing', 'better', 'keep', 'cause', 'coming', 'back', 'around', 'would', 'bad', 'health', 'cause', 'hate', 'stupid', 'old', 'pickup', 'truck', 'never', 'let', 'drive', 'redneck', 'heartbreak', 'really', 'bad', 'lying', 'watch', 'strike', 'match', 'wasted', 'time', 'case', 'heard', 'really', 'really', 'hate', 'stupid', 'old', 'pickup', 'truck', 'never', 'let', 'drive', 'redneck', 'heartbreak', 'really', 'bad', 'lying', 'watch', 'strike', 'match', 'wasted', 'time', 'far', 'concerned', 'another', 'picture', 'burn', 'burn', 'burn', 'burn', 'baby', 'burn', 'another', 'picture', 'burn', 'baby', 'burn']","[[ 0.0144043  -0.04907227  0.07373047 ... -0.07958984  0.00445557
  -0.03344727]
 [ 0.2421875   0.06396484 -0.25585938 ... -0.10449219 -0.02600098
   0.0246582 ]
 [ 0.03320312 -0.08984375 -0.29492188 ... -0.12695312  0.16113281
  -0.16015625]
 ...
 [ 0.18359375  0.11132812  0.15136719 ...  0.06225586 -0.1328125
  -0.02404785]
 [ 0.03393555  0.08349609 -0.12402344 ...  0.04882812 -0.28320312
   0.09814453]
 [ 0.18359375  0.11132812  0.15136719 ...  0.06225586 -0.1328125
  -0.02404785]]","[ 0.09188945  0.03739006  0.05595479  0.1018898  -0.03476196  0.03943858
  0.05443339 -0.08344665  0.11056447  0.11593843  0.01050679 -0.1386731
 -0.03471212  0.04181397 -0.07657837  0.05737539  0.03827026  0.0887087
 -0.00617513 -0.11491363  0.00288503  0.05342021  0.04009908 -0.03281163
  0.09831655  0.01349528 -0.05051422  0.0315963   0.08065902 -0.02356262
 -0.04663948  0.06819315 -0.02906932 -0.05833018  0.00323853 -0.00090291
  0.11813516 -0.03988579 -0.00192485  0.11407186  0.10891317 -0.05864268
  0.19517975 -0.05452159 -0.06535647 -0.05936625 -0.01762718  0.0240446
  0.0226825   0.03529429 -0.05479289  0.07634235 -0.00068359 -0.00606181
  0.02088155  0.00277547 -0.03021276 -0.06306315  0.04543782 -0.02942688
  0.01043269  0.06515244 -0.07836833 -0.03971659 -0.01190908  0.02319061
 -0.01788376  0.07281321 -0.07649231  0.04341146  0.04695109  0.0355753
  0.03556305 -0.02973012 -0.1874235  -0.00774913  0.04744975  0.04784292
  0.06519964  0.09852987  0.00206431 -0.02213033  0.04258265 -0.00533569
 -0.04620851 -0.04050771 -0.11278198  0.16522786  0.00340396  0.01070719
  0.02667714  0.06882192 -0.05034627 -0.04088773 -0.07716268 -0.06691503
  0.09948067  0.08496104 -0.01805216 -0.01589561 -0.08732218 -0.01110331
  0.06916118 -0.02961192  0.05163432 -0.0672025   0.01891841 -0.06680166
  0.02763265 -0.06313538 -0.03604624 -0.05648229 -0.01852107 -0.02521549
  0.09992466 -0.06537882  0.06722087 -0.01801381  0.00495005  0.08778737
 -0.1004008   0.03995727 -0.04310486  0.05889921 -0.0404956  -0.05303813
 -0.03764694 -0.03056193 -0.02571452 -0.03459691 -0.06410705 -0.10638876
 -0.0513207   0.01203735 -0.00255188 -0.03928785  0.03052465  0.06721651
  0.00062108  0.08692505  0.06959575 -0.06983421  0.05480713 -0.02567668
  0.00921753  0.04347005 -0.08486992 -0.07180099 -0.05002045 -0.09097087
  0.13327987  0.07283661 -0.06459961  0.06305412 -0.06272217  0.01021405
 -0.0067687  -0.12950991 -0.06877116 -0.06592468 -0.02616414  0.08565593
  0.02060404  0.02103597  0.0356956  -0.0995239   0.12313049 -0.0900223
  0.02746735 -0.04373342 -0.0640523  -0.02828473 -0.0196464  -0.04731618
 -0.02529399 -0.01589188  0.11960185 -0.04629311 -0.04722648  0.0166451
 -0.05794322 -0.09729411  0.05550975  0.02831751 -0.03847524 -0.02296651
 -0.09479462  0.0314798   0.05973877  0.06921244  0.10083929  0.01295057
  0.03671936  0.06949829  0.00386789  0.0787238  -0.00511587 -0.02100708
 -0.07188344 -0.05837118 -0.00857788  0.0199174  -0.08373413 -0.01658346
  0.0620404  -0.03213704 -0.05385742  0.00394501  0.00713175 -0.03376353
  0.00094797  0.07968221 -0.03610338  0.03635071 -0.08974019  0.00929423
  0.05747233 -0.01986268 -0.15126444 -0.02956441 -0.07164633  0.01044749
  0.02448751 -0.01245954  0.0526355  -0.07461141  0.06393041  0.01423253
  0.01625076 -0.02372742  0.02514081 -0.0185496   0.03267415  0.00585785
  0.03965385 -0.00480072 -0.01716309 -0.07423861  0.06574453  0.00251333
  0.10650757  0.02460576 -0.00732468 -0.1101516  -0.06960225  0.03581238
  0.01520599  0.01411987  0.01878006 -0.05336426  0.02983053  0.05371541
  0.09931834  0.10089844  0.05879552 -0.02794922 -0.00960185  0.02031204
 -0.04486654 -0.1036674  -0.06457611 -0.01002523 -0.08615071  0.03171977
  0.03254472  0.0748345  -0.03904917 -0.00774546 -0.05148885  0.0188446
  0.02903582  0.11614085  0.1318339   0.03457337 -0.01240977 -0.07884745
 -0.08415975 -0.05897446 -0.05910156 -0.00325405  0.04794922 -0.02356832
  0.01888931  0.03977621 -0.04161823 -0.05758469 -0.08564616 -0.00079112
  0.01790227  0.02788895 -0.05974406  0.07909586 -0.10829231  0.02424723
 -0.06471415 -0.02993538 -0.01927026 -0.07258962 -0.00805013 -0.05003154]"
2,Teardrops on My Guitar,"Drew looks at me, I fake a smile so he won't see
That I want and I'm needing everything that we should be
I'll bet she's beautiful, that girl he talks about
And she's got everything that I have to live without
Drew talks to me, I laugh 'cause it's just so funny
But I can't even see anyone when he's with me
He says he's so in love, he's finally got it right
I wonder if he knows he's all I think about at night
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
Drew walks by me, can he tell that I can't breathe?
And there he goes, so perfectly
The kind of flawless I wish I could be
She'd better hold him tight, give him all her love
Look in those beautiful eyes and know she's lucky 'cause
He's the reason for the teardrops on my guitar
The only thing that keeps me wishing on a wishing star
He's the song in the car I keep singing, don't know why I do
So I drive home alone, as I turn out the light
I'll put his picture down and maybe get some sleep tonight
'Cause he's the reason for the teardrops on my guitar
The only one who's got enough of me to break my heart
He's the song in the car I keep singing, don't know why I do
He's the time taken up, but there's never enough
And he's all that I need to fall into
Drew looks at me, I fake a smile so he won't see",Taylor Swift (Debut),"['drew', 'look', 'fake', 'smile', 'see', 'want', 'needing', 'everything', 'bet', 'beautiful', 'girl', 'talk', 'got', 'everything', 'live', 'without', 'drew', 'talk', 'laugh', 'cause', 'funny', 'even', 'see', 'anyone', 'say', 'love', 'finally', 'got', 'right', 'wonder', 'know', 'think', 'night', 'reason', 'teardrop', 'guitar', 'thing', 'keep', 'wishing', 'wishing', 'star', 'song', 'car', 'keep', 'singing', 'know', 'drew', 'walk', 'tell', 'breathe', 'go', 'perfectly', 'kind', 'flawless', 'wish', 'could', 'better', 'hold', 'tight', 'give', 'love', 'look', 'beautiful', 'eye', 'know', 'lucky', 'cause', 'reason', 'teardrop', 'guitar', 'thing', 'keep', 'wishing', 'wishing', 'star', 'song', 'car', 'keep', 'singing', 'know', 'drive', 'home', 'alone', 'turn', 'light', 'put', 'picture', 'maybe', 'get', 'sleep', 'tonight', 'cause', 'reason', 'teardrop', 'guitar', 'one', 'got', 'enough', 'break', 'heart', 'song', 'car', 'keep', 'singing', 'know', 'time', 'taken', 'never', 'enough', 'need', 'fall', 'drew', 'look', 'fake', 'smile', 'see']","[[ 0.23535156  0.20410156  0.35742188 ... -0.20410156  0.02734375
   0.03088379]
 [-0.17089844  0.1796875   0.02294922 ...  0.03881836 -0.00994873
  -0.03149414]
 [ 0.17382812  0.03833008  0.0213623  ... -0.28125    -0.12695312
  -0.02929688]
 ...
 [ 0.17382812  0.03833008  0.0213623  ... -0.28125    -0.12695312
  -0.02929688]
 [ 0.26171875 -0.06225586  0.35351562 ... -0.22265625 -0.05444336
  -0.23925781]
 [-0.05566406  0.00891113 -0.09228516 ...  0.00318909  0.28710938
  -0.14160156]]","[ 6.41829744e-02  5.40226884e-03  2.73282938e-02  7.71931633e-02
 -8.54185671e-02 -1.26754502e-02  1.13457777e-01 -7.61738494e-02
  8.30962062e-02  6.39299378e-02 -4.58495691e-02 -1.30937248e-01
 -5.01832627e-02  2.77465302e-02 -1.22773200e-01  9.39512551e-02
  7.05337524e-02  1.28386721e-01 -1.70945786e-02 -8.26689601e-02
 -4.31054225e-03  9.24337953e-02  7.35126361e-02 -3.56153287e-02
  4.48321626e-02 -1.69818066e-02 -2.64183283e-02 -2.15435028e-03
  4.75887433e-02 -5.22276796e-02 -8.26614648e-02  6.42655492e-02
 -5.15936501e-02 -1.14382217e-02  4.57980074e-02 -4.67318520e-02
  1.18372753e-01 -1.55317700e-02  9.84652247e-03  9.46207717e-02
  4.83314246e-02 -8.35481808e-02  1.44583672e-01 -1.34695647e-02
 -1.18164029e-02 -3.66597660e-02 -3.81909087e-02 -8.87199957e-03
  3.33233550e-02  4.19148430e-02 -8.61306041e-02  6.83627799e-02
 -3.08516924e-03 -5.37457969e-03  4.05451022e-02  7.20859412e-03
 -4.20630872e-02 -3.92200872e-02  2.64024567e-02 -7.06464797e-02
  2.43850574e-02  1.97140928e-02 -9.10510197e-02 -3.22270878e-02
  2.92513613e-02  2.63069086e-02 -8.32950994e-02  7.25966468e-02
 -6.62464276e-02  9.83955115e-02  4.04325686e-02  4.08004224e-02
  9.28292796e-02 -3.15646478e-03 -1.74507275e-01 -6.19848520e-02
  4.64277603e-02  5.06572053e-02  6.49593621e-02  1.27735868e-01
  1.35861756e-02 -3.51012647e-02  5.17275594e-02 -2.91195568e-02
 -8.51714686e-02  2.15838291e-03 -1.17977276e-01  1.34777263e-01
  4.34203297e-02  1.02520650e-02  2.27167848e-02  9.55125242e-02
 -7.32755661e-02 -5.00422493e-02 -8.27718303e-02 -9.35079604e-02
  1.18655197e-01  7.62244910e-02 -7.17623485e-03 -5.16386367e-02
 -1.13487050e-01 -1.05347466e-02  5.23876324e-02  2.13392191e-02
 -2.94393338e-02 -4.85058315e-02  2.05852240e-02 -6.33716583e-02
  4.76716980e-02 -4.24821116e-02 -5.57913929e-02 -2.34069172e-02
 -1.57891642e-02 -4.70744148e-02  1.14630207e-01 -1.34035312e-02
  3.27635147e-02 -2.71895844e-02  2.20265221e-02  4.16569561e-02
 -4.68856879e-02  1.58299413e-02 -4.29409631e-02  4.18170244e-02
 -6.68940041e-03 -1.98664181e-02 -4.37548421e-02 -8.28325972e-02
 -1.57401636e-02 -2.49632471e-03 -3.76621112e-02 -1.15796849e-01
 -3.34783085e-02  1.94660053e-02  3.90039310e-02 -6.12767972e-02
  2.62505766e-02  5.18416055e-02 -1.67488884e-02  6.82842657e-02
  6.22144900e-02 -6.85247257e-02  1.20412896e-03 -2.64991242e-02
  2.05032080e-02  9.52836424e-02 -1.81121491e-02 -1.20440714e-01
 -5.79367019e-02 -8.73364434e-02  6.19109832e-02  8.29828233e-02
 -7.92207420e-02  5.72570264e-02 -3.60210016e-02  1.02418044e-03
 -5.70449829e-02 -7.75714740e-02 -9.70228165e-02  5.68255084e-03
  9.38310288e-03  5.82200401e-02  6.70365989e-02  4.22257408e-02
  4.06338908e-02 -1.11800887e-01  6.89465776e-02 -8.46740454e-02
 -2.27480922e-02 -5.53327091e-02 -1.05799705e-01 -7.89760705e-03
 -1.71182565e-02 -5.13160974e-02 -7.63586015e-02 -1.90670416e-02
  1.08404256e-01 -6.20039329e-02 -1.59581937e-02  2.28814092e-02
 -7.52732530e-02 -3.28098014e-02  9.49605778e-02  2.89273746e-02
 -8.05205330e-02 -7.05863684e-02 -4.62124608e-02 -2.87425593e-02
  3.90480980e-02  2.51695048e-02  3.58270444e-02  5.00501413e-03
  1.05695002e-01  1.86773501e-02 -2.16893163e-02  3.62545662e-02
  7.68990372e-04 -1.37888808e-02 -9.16149542e-02 -8.97903442e-02
  2.78315712e-02  1.68010779e-02 -1.08172514e-01 -2.85695828e-02
  9.78230461e-02 -7.53852576e-02 -6.82063922e-02  4.93483711e-03
  3.20839733e-02  6.09851722e-03 -5.27897552e-02  1.00694098e-01
 -4.61183079e-02 -9.23682936e-03 -1.16680935e-01 -2.46768165e-02
  7.18881041e-02  1.19951842e-02 -1.24020278e-01 -3.16475183e-02
  8.62660911e-03  2.76210392e-03 -1.15922075e-02 -1.03558507e-02
  4.35491093e-02 -1.35987380e-03  3.74929011e-02  1.21242916e-02
 -5.22797694e-03 -1.20061180e-02  3.74729559e-02 -3.80284525e-02
 -1.58344135e-02  2.98543423e-02  9.02528614e-02  6.64678123e-03
 -1.03984699e-02 -1.08672567e-01  1.08389623e-01  1.01441350e-02
  8.07544887e-02  2.69175563e-02 -5.82848750e-02 -7.56220296e-02
 -1.98150496e-03  5.54443225e-02  4.71760966e-02  3.67178246e-02
  2.71450561e-02 -5.78052923e-02  6.30477397e-03  5.68145216e-02
  1.02405548e-01  1.00981742e-01  3.63836624e-02 -2.83509288e-02
 -7.65636039e-04  2.61869095e-02 -5.99283502e-02 -3.85839529e-02
 -5.00617176e-02  3.97672318e-03 -6.13480918e-02  4.95548919e-02
  3.65566388e-02  1.28250122e-01 -1.53342606e-02 -1.94657426e-02
 -9.84530598e-02 -2.39774771e-02  3.45454365e-02  9.73869488e-02
  1.29491076e-01  4.33929712e-02  6.46913499e-02 -4.77403440e-02
 -6.52468428e-02 -1.11346543e-01 -5.81883416e-02 -2.25170571e-02
  2.96265166e-02 -3.79943848e-02  2.30874028e-02  6.06955178e-02
 -1.18591124e-02 -4.09743227e-02 -8.16542506e-02 -7.15716137e-03
  2.23507062e-02  6.12758771e-02 -3.22502404e-02  8.81442353e-02
 -1.17641583e-01  1.04969942e-04 -3.27316821e-02 -4.85012121e-02
  3.48735750e-02 -8.16601738e-02  3.90855186e-02 -3.27587463e-02]"
